strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_LMI,val_f1_LMI,test_f1_LMI,test_sensitivity_LMI,test_specificity_LMI,test_auc_LMI
no_pretrain,1,OK,,0.9974053085614616,0.9933801009564183,0.8009943108513587,0.8256513026052105,0.8219490505428072,0.8256513026052105,0.7867316369417108,0.9728885462091362,0.692323050661412,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_1,513493,513493,1.0,0.9960079840319361,0.9960159362549801,0.7948717948717948,0.9185185185185185,0.8543956043956044,0.9717134717134717,0.9969135802469136,1.0,0.7978723404255319,0.7731958762886598,0.9601990049751243,0.9401959275786018,0.9966996699669967,0.9933774834437086,0.9081081081081082,0.9130434782608695,0.9428571428571428,0.9807453416149069,1.0,0.9841269841269841,0.703125,0.5421686746987951,1.0,0.9988994439295644
no_pretrain,2,OK,,1.0,1.0,0.8732332448249913,0.8677354709418837,0.8664849633138457,0.8677354709418837,0.8730446613387162,0.9808739355009274,0.5882150123795431,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_2,513493,513493,1.0,1.0,1.0,0.9047619047619048,0.9851851851851852,0.9285714285714286,0.9883190883190883,1.0,1.0,0.783068783068783,0.7628865979381443,0.9552238805970149,0.9694311945427503,1.0,1.0,0.8361581920903954,0.8043478260869565,0.9301587301587302,0.9658902691511387,1.0,1.0,0.968944099378882,0.9397590361445783,1.0,0.9998551899907322
no_pretrain,3,OK,,0.994372876373494,1.0,0.7969884345906517,0.7875751503006012,0.78684304591523,0.7875751503006012,0.7955485008413553,0.9442425818868349,0.8777025355724152,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_3,513493,513493,1.0,0.9920477137176938,1.0,0.8410596026490066,0.9407407407407408,0.8901098901098901,0.9777777777777777,0.9969040247678018,1.0,0.71,0.7319587628865979,0.9203980099502488,0.8706211211981331,0.9925558312655087,1.0,0.736231884057971,0.6902173913043478,0.8920634920634921,0.9285714285714286,0.9959839357429718,1.0,0.9006622516556292,0.8192771084337349,1.0,1.0
no_pretrain,4,OK,,0.9995444884333773,0.9939910101439592,0.890642453218021,0.8837675350701403,0.884004812701131,0.8837675350701403,0.899492732871823,0.9853843718479247,0.4523169578674561,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_4,513493,513493,1.0,0.999000999000999,0.992,0.9672727272727273,0.9851851851851852,0.9807692307692307,0.9984330484330485,1.0,0.9938650306748467,0.7655502392344498,0.8247422680412371,0.9203980099502488,0.9711237626301482,0.9991769547325103,0.9900990099009901,0.8357348703170029,0.7880434782608695,0.9428571428571428,0.9719806763285024,1.0,1.0,0.9940119760479041,1.0,0.9975961538461539,1.0
no_pretrain,5,OK,,0.9981789015554942,0.9981812929234567,0.8495502511349368,0.8396793587174348,0.8403532700482583,0.8396793587174348,0.8578798122416456,0.9435354657505891,1.0013073359528382,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/no_pretrain/fold_5,513493,513493,1.0,0.9960159362549801,0.9960474308300395,0.9485294117647058,0.9555555555555556,0.978021978021978,0.9957061457061457,1.0,1.0,0.6857142857142857,0.7422680412371134,0.8980099502487562,0.8735702928655691,0.9966996699669967,0.9966777408637874,0.7758620689655172,0.7336956521739131,0.9079365079365079,0.9048654244306418,1.0,1.0,0.9880952380952381,1.0,0.9951923076923077,1.0
frozen_backbone,1,OK,,0.918650015678554,0.8752512412325432,0.7855323031950803,0.7595190380761523,0.7600359291304439,0.7595190380761523,0.7794828262199652,0.9400827346023755,0.5443205589760759,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_1,33924,513493,0.06606516544529331,0.9032258064516129,0.8609865470852018,0.7193675889328063,0.674074074074074,0.9258241758241759,0.9445868945868946,0.917981072555205,0.8774193548387097,0.7340425531914894,0.711340206185567,0.945273631840796,0.9521977740165154,0.9093931837073982,0.8640483383685801,0.7007672634271099,0.7445652173913043,0.7777777777777778,0.8640096618357488,0.944,0.8985507246376812,0.9879518072289156,0.9879518072289156,0.9975961538461539,0.9995366079703429
frozen_backbone,2,OK,,0.9055031278886615,0.8565196798954761,0.800538727704082,0.7755511022044088,0.7771015646640913,0.7755511022044088,0.792094103542013,0.9340130139276467,0.5611268163085701,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_2,33924,513493,0.06606516544529331,0.8858267716535433,0.8288288288288288,0.762962962962963,0.762962962962963,0.9120879120879121,0.9345136345136346,0.8913385826771654,0.89171974522293,0.7675675675675676,0.7319587628865979,0.9577114427860697,0.9637636559470688,0.8809917355371901,0.8676923076923077,0.7086614173228346,0.7336956521739131,0.8031746031746032,0.8391649413388544,0.963855421686747,0.8378378378378378,0.9629629629629629,0.9397590361445783,0.9975961538461539,0.9986098239110288
frozen_backbone,3,OK,,0.9177649197356197,0.8730786643430053,0.7957232348117067,0.7675350701402806,0.7682589081569348,0.7675350701402806,0.7911262223554311,0.9247169381098586,0.604272824012206,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_3,33924,513493,0.06606516544529331,0.9013806706114399,0.8169014084507042,0.7418181818181818,0.7555555555555555,0.8956043956043956,0.9332112332112331,0.9240506329113924,0.9056603773584906,0.7675675675675676,0.7319587628865979,0.9577114427860697,0.9463507206236857,0.8966087675765095,0.8579881656804734,0.6916890080428955,0.7010869565217391,0.8095238095238095,0.8193926846100759,0.9490196078431372,0.9117647058823529,0.9818181818181818,0.9759036144578314,0.9975961538461539,0.9999131139944393
frozen_backbone,4,OK,,0.8730067835416573,0.8491384729863285,0.8155310605092735,0.7975951903807615,0.7964883021428227,0.7975951903807615,0.8157127513990421,0.9370762649883465,0.5502095629194218,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_4,33924,513493,0.06606516544529331,0.861003861003861,0.8888888888888888,0.8042704626334519,0.837037037037037,0.9093406593406593,0.9488196988196987,0.8821656050955414,0.8481012658227848,0.7650273224043715,0.7216494845360825,0.9601990049751243,0.9620710878596708,0.8504201680672269,0.8543689320388349,0.7342465753424657,0.7282608695652174,0.8507936507936508,0.8393547273982057,0.8984375,0.8051948051948052,0.9585798816568047,0.9759036144578314,0.9879807692307693,0.9980595458758109
frozen_backbone,5,OK,,0.9231772117426413,0.9228233243285529,0.7949489034613695,0.7715430861723447,0.7736608364247052,0.7715430861723447,0.7849098108155517,0.9349603287642431,0.5630081298356066,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260611_194017/transfer_strategies/frozen_backbone/fold_5,33924,513493,0.06606516544529331,0.9105211406096362,0.9205020920502092,0.7761194029850746,0.7703703703703704,0.9203296703296703,0.9494708994708995,0.92018779342723,0.9419354838709677,0.7553191489361702,0.7319587628865979,0.9502487562189055,0.9534287326255321,0.9065343258891646,0.9333333333333333,0.7049608355091384,0.7336956521739131,0.7968253968253968,0.8382160110420979,0.9554655870445344,0.8955223880597015,0.9433962264150944,0.9036144578313253,0.9975961538461539,0.9987256719184431
